原文,译文
【カイム】,
「ありがたい聖女様がちゃんと祈ってれば、あんな事は起らなかったんだ」,
【カイム】,
「それを<ふびん>不憫|の一言で済ませる気か？」,
【聖女】,
「その責は、先代イレーヌ様がお命をもって償いました」,
【聖女】,
「私が聖女となった今、決してあのようなことは起こさせません」,
【聖女】,
「それが、聖女の務めですから」,
【カイム】,
「わかってるならいい」,
自分の責務は理解しているらしいが、どうも癖がある人間だ。,
ラヴィをさらに純朴にしたような女かと思っていたが。,
【聖女】,
「カイムさん、もう一度お願いいたします」,
【聖女】,
「天使様は御子の身を案じておられます」,
【聖女】,
「その切なるお声を、私はどうしても無視することはできません」,
【聖女】,
「どうか御子と共に、この聖殿へ<とうりゅう>逗留|していただけないでしょうか」,
【ティア】,
「カイムさん、できれば……わたしもここに残りたいです」,
【ティア】,
「今までわたしは、ずっと自分のことがわかりませんでした」,
【ティア】,
「どうして、わたしは生きているんだろうって」,
【ティア】,
「でも、聖女様のお傍にいれば、何かわかるかもしれません」,
【ティア】,
「それに、カイムさんが知りたがっていたことも……」,
《<トラジェディア>終わりの夕焼け|》のことか。,
確かに気になる。,
しかし、聖女が夢を見るまで待つほど暇でもない。,
【カイム】,
「……いいだろう」,
【カイム】,
「ただし、明日までだ」,
【カイム】,
「いつになるかわからないものを待っていられるほど暇じゃない」,
【聖女】,
「わかりました」,
【聖女】,
「こうして御子にお越しいただいたのですから、必ずや天使様もお導き下さるでしょう」,
聖女は凛とした態度で答えた。,
相当自信があるようだ。,
今夜いっぱいは様子を見てみよう。,
【ラヴィリア】,
「本日は、こちらでお休みください」,
俺とティアは、聖女の部屋から少し離れた一室に案内された。,
聖殿に泊まるなど、そう経験できることじゃない。,
牢獄に帰ったら、酒の肴にしよう。,
【ティア】,
「何から何までありがとうございます、ラヴィさん」,
【ラヴィリア】,
「いえ、当然のことです」,
【ラヴィリア】,
「何か必要なものがありましたら遠慮なく仰ってください」,
【カイム】,
「ああ、その時は頼む」,
【ティア】,
「カイムさん、すごいですっ！　ベッドがふかふかです！」,
【ティア】,
「シーツもこんなに白くて！」,
ティアはベッドの具合を確かめ、喜んでいる。,
さすがは聖女様が住む聖殿。,
最高級の品を使っているようだ。,
【ラヴィリア】,
「カイム様、一つよろしいでしょうか」,
【カイム】,
「なんだ？」,
【ラヴィリア】,
「その、御子様とご一緒の部屋でよろしかったのでしょうか」,
【カイム】,
「俺は別に構わないぞ」,
【ティア】,
「わたしも平気です」,
【ラヴィリア】,
「そうですか」,
【ラヴィリア】,
「確かに、お二人はご兄妹ですし問題ございませんね」,
そっちのことを心配していたのか。,
聖域だけに厳しいな。,
【カイム】,
「上層では血が繋がっていても問題ないのか？　なかなか進んでいるな」,
【ラヴィリア】,
「ま、まさか！？」,
【ラヴィリア】,
「ね、念のために伺っただけのことです」,
真っ赤になって慌てるラヴィリア。,
からかい甲斐がある。,
【カイム】,
「わかってる、一応確認するのもお前の仕事なんだろ」,
【ラヴィリア】,
「は、はい、そうなのです」,
【ラヴィリア】,
「ですから、私が決して聖戒に背くような、<けが>穢|れた想像をしていたということでは……」,
ラヴィがこちらの表情を<うかが>窺|ってくる。,
【カイム】,
「心配するな、お前が汚れてるなんて思ってない」,
【ラヴィリア】,
「ありがとうございます」,
安堵の息を漏らす。,
本気で心配だったらしい。,
聖職者の心理は、普通の奴とは違うようだ。,
【ラヴィリア】,
「やはり、カイム様はいい方です」,
【ティア】,
「そうなんです、カイムさんっていい人なんです」,
【ティア】,
「初めは意地悪なんですけど、最後はいつも……」,
【カイム】,
「言ってろ」,
俺がいい人だったら、世の中聖人だらけになる。,
【ラヴィリア】,
「ふふふ、仲の良いご兄妹でうらやましいです」,
【カイム】,
「こんな女で良ければ、いつでもやるぞ」,
【ラヴィリア】,
「結構です」,
【ティア】,
「すぐに断られると、少し悲しいです」,
【ラヴィリア】,
「あ、いえ……御子様はこの世界の宝です」,
【ラヴィリア】,
「私のような者がいただくなど、恐れ多いことですので」,
【ティア】,
「あ、なるほど」,
【ティア】,
「カイムさん、わたし、世界の宝になりました」,
【カイム】,
「ずいぶん出世したな」,
適当に話を流す。,
【ラヴィリア】,
「では、私は儀式がありますのでこれで失礼します」,
【カイム】,
「儀式？」,
【ラヴィリア】,
「特別なご予定のない場合、聖女様は毎日、朝と晩に祭壇で祈りを捧げられます」,
【ラヴィリア】,
「私も助祭として、儀式のお手伝いをさせていただいているのです」,
【ティア】,
「毎日ですか……」,
【ラヴィリア】,
「当然のことです」,
【ラヴィリア】,
「この都市を支えているのは、聖女様の祈りなのですから」,
【ティア】,
「どんな儀式なんでしょうか？」,
【ラヴィリア】,
「ご覧になりますか？」,
【ティア】,
「えっ、見せてもらえるんですか？」,
【ラヴィリア】,
「熱心な信者の方々には、ご覧になっていただくこともあります」,
【ラヴィリア】,
「ユースティア様は天使様の御子でいらっしゃいますので、何も問題はないと思いますよ」,
【カイム】,
「俺はどうなんだ」,
【ラヴィリア】,
「カイム様も、<みそぎ>禊|をしていただければ大丈夫です」,
都市を浮かせる儀式には興味がある。,
話の種にでも見ておこう。,
【カイム】,
「それなら、見させてもらおう」,
【ラヴィリア】,
「わかりました」,
【ラヴィリア】,
「それでは、<みそぎ>禊|の支度をしますのでお待ちください」,
ラヴィは微笑を浮かべて去っていった。,
──煌々たる明かりに照らされた浴場で、儀式が始まった。,
俺とティアは<みそぎ>禊|を行い、部屋の隅へと案内される。,
<みそぎ>禊|は<のりと>祝詞|を唱えるだけの簡単なものだった。,
儀式の内容は、あらかじめラヴィから聞いている。,
まずは、聖水で<もくよくけっさい>沐浴潔斎|を行い、神に祈りを捧げる。,
そして、新しい礼服に着替えて祭壇に移動し、供物を捧げ天使に都市を浮かせ続けてくれるよう祈るそうだ。,
【ティア】,
「は、裸ですよカイムさん」,
【カイム】,
「そうだな」,
小さな声でティアとやりとりする。,
【聖女】,
「……」,
聖女は一糸まとわぬ姿で水を浴び、その度に何かを呟いている。,
その密やかな祈りは、ここまでは聞こえてこない。,
【ティア】,
「綺麗です……」,
ため息をついて呟くティアに、心の内で同意する。,
聖女の身体は、世俗のものとは一線を画していた。,
白く滑らかな肌は水に濡れ、まるで絹のように穏やかな輝きを帯びていた。,
磨き上げられた大理石の彫刻のごとく、その姿は完全なる美を体現している。,
傍にはラヴィが控え、聖女が沐浴を終えるのを静かに待っていた。,
【聖女】,
「……」,
聖女は祈りを終えると、ゆっくりと水から出る。,
ラヴィはその傍について、聖女の身体を優しく拭き清める。,
手を伸ばした聖女に、ラヴィはその身体に触れぬよう細心の注意を払いながら服を着せた。,
聖女は俺たちを一瞥だけして、言葉もなく浴場を出て行く。,
【ラヴィリア】,
「……こちらへ」,
とても言葉を発するような雰囲気ではなかった。,
ラヴィに告げられ、俺たちは黙ってその後をついていく。,
【ティア】,
「すごい量ですね」,
【カイム】,
「ああ」,
ティアが目を見張ったのは、山と積まれた供物の量だった。,
ラヴィが言うには、ここ最近の地震に不安を感じた貴族が、毎日聖女へ供物を捧げに来るのだという。,
次は自分が落ちるかもしれない。,
そんな不安を慰めるには、貴族も聖女にすがるしかない。,
【ナダル】,
「メルヴィン＝ディス＝ルーセウス殿より寄贈物をいただいております」,
ナダルの声に合わせ、聖職者が大きな<かご>籠|を聖女の前に運ぶ。,
聖女は手をかざして祈りを捧げた。,
祈りが終わると、その供物を下げて祭壇の横に並べる。,
それを、山のような供物全てに行った。,
【聖女】,
「天におわす神よ、この地を作り給うた天使よ、今日の安寧を心より感謝致します」,
【聖女】,
「我ら神の御子なれば祈りは絶やさず、明日も安らかなる一日を与え給え」,
聖女は手を組み、<のりと>祝詞|を呟く。,
<もくよくけっさい>沐浴潔斎|だけでも相当かかっていたが、儀式はさらに長かった。,
ナダルを含め、聖職者たちが脇に控える中、聖女は朗々と<のりと>祝詞|を紡いでいく。,
その言葉は祭壇内に凛と響き、心地よく耳に届く。,
まるで一つの音楽を聞いているかのようだ。,
……これは大変だな。,
街を浮かせるため、聖女は毎日こんなに長大な儀式を行っているのか。,
この祈りを欠かせば、また<グラン・フォルテ>大崩落|が起こる。,
悲劇を繰り返さないためにも、聖女は祈りを絶やさない。,
その重責はいかばかりか。,
聖女は、あの小さな身体で都市の命運を支え続けているのだ。,
とてもじゃないが、俺には耐えられそうにない。,
【ルキウス】,
「遅くなりました」,
【ルキウス】,
「お待たせして申し訳ございません」,
【ギルバルト】,
「来たか」,
現れた男には目もくれず、中年の貴族は壁に掛けられた風景画を眺めている。,
【ギルバルト】,
「近頃は忙しいようだな」,
【ルキウス】,
「いえ、執政公のご多忙ぶりには遠く及びません」,
【ギルバルト】,
「世辞が上手くなったものだ」,
執政公、ギルバルト──,
ノーヴァス・アイテルの政治の頂点に立つ男は、小さく鼻を鳴らしルキウスの方へ向く。,
【ルキウス】,
「して、本日のお呼び出しは」,
【ギルバルト】,
「うむ」,
執政公は自らの椅子に腰掛け、ルキウスにも座るよう促した。,
【ギルバルト】,
「聖女様についてだ」,
【ギルバルト】,
「どうやら、また興味深いことを仰っているようでな」,
【ルキウス】,
「……また、ですか」,
<いぶか>訝|しげな表情を浮かべるルキウスの瞳の奥、執政公はその真意を探る。,
だが、ルキウスに他意は感じられない。,
【ギルバルト】,
「当代の聖女様は、信仰心の大変強いお方」,
【ギルバルト】,
「折に触れ、ありがたいお言葉を下さることは貴殿も知っていよう？」,
【ルキウス】,
「羽つきは天使様の遣いであり、羽狩りは即刻中止すべきである……でしたか」,
【ギルバルト】,
「ああ、そんな話もあったな」,
【ルキウス】,
「では、今日はその件ではないと」,
【ルキウス】,
「とすると、天使の御子を探すよう仰っていたことでしょうか？」,
【ギルバルト】,
「どうやら、聖女様は御子を見つけたらしい」,
【ルキウス】,
「まさか」,
【ギルバルト】,
「真偽はわからぬよ」,
【ギルバルト】,
「だが実際に、御子らしい女を聖殿に泊めているようだ」,
【ルキウス】,
「いかなる者でしょうか？」,
【ギルバルト】,
「名は、ユースティアという」,
【ギルバルト】,
「報告によれば、特別被災地区の住人らしい」,
【ギルバルト】,
「聞いたことはあるか？」,
【ルキウス】,
「申し訳ございません」,
【ギルバルト】,
「では、カイムという男はどうだ？」,
【ギルバルト】,
「御子の実兄という触れ込みで、聖殿にいるらしい」,
ルキウスは、努めて自然体を装う。,
だが、わずかな空気の変化を執政公は感じ取る。,
【ギルバルト】,
「どうやら知っているようだな」,
見抜かれたか、とルキウスは内心で<ほぞ>臍|をかむ。,
自分と不蝕金鎖との関わりに気づかれるのは望むところではない。,
ルキウスは、表情を変えぬままに、もっともらしい理由をこね上げる。,
【ギルバルト】,
「どういった知り合いだ？」,
【ルキウス】,
「防疫局で作成している、要注意人物の一覧に、カイムという名があったかと記憶しております」,
【ギルバルト】,
「なるほど」,
【ルキウス】,
「資料を用意させましょうか？」,
【ギルバルト】,
「いや、それには及ばん」,
さすがに、この程度では動揺しないらしい。,
執政公は若年の貴族のしたたかさに、どこか喜びを感じた。,
【ギルバルト】,
「昨今、特別被災地区が騒がしい」,
【ギルバルト】,
「貴殿がご執心のかの地だ、何か知っているのではないか？」,
【ルキウス】,
「特別被災地区にも執政公のお名前は響きわたっております」,
【ルキウス】,
「執政公のお耳に入らぬことを、私が知っているとも思えません」,
ルキウスは立ち上がり、執政公に向かって頭を垂れる。,
服従の印だ。,
【ギルバルト】,
「また謙遜か」,
【ルキウス】,
「お戯れを」,
執政公の追い打ちを、ルキウスはそつなくかわす。,
このくらいの世辞、息をするように扱えなくては貴族など務まらない。,
【ギルバルト】,
「まあいい」,
【ギルバルト】,
「羽化病<りかんしゃ>罹患者|の保護は進んでいるか？」,
【ルキウス】,
「現在、目標の８割ほどです」,
【ギルバルト】,
「解放についてはどうだ？」,
【ルキウス】,
「準備を急がせております」,
どちらの報告も悪くない。,
ルキウスに任せてから目に見えて進捗状況が改善している。,
ギルバルトが満足げに鼻息を漏らす。,
灰色の粘土で作ったような顔に、興奮の色が滲むのをルキウスは見た。,
【ギルバルト】,
「聖女様の言動は注視せねばなるまい」,
【ギルバルト】,
「所詮は、我々も聖女様に生かされている身だ」,
【ギルバルト】,
「今後も、何か気付いたらすぐに知らせてくれ」,
【ルキウス】,
「もちろんでございます」,
と、若い貴族が頭を下げた時、,
地鳴りが起こる。,
大地が揺れ、窓にはめたガラスが小さく軋む。,
【ギルバルト】,
「……また地震か」,
【ルキウス】,
「そのようで」,
【ギルバルト】,
「最近、多すぎるな」,
【ギルバルト】,
「急がねばならぬか」,
【ルキウス】,
「……」,
【ギルバルト】,
「聖女様にはもう少し、しっかりしてもらいたいものだな」,
【ルキウス】,
「……御意」,
【聖女】,
「さあ、いただきましょう」,
聖女とティアは祈りを終えて、組んだ手をほどく。,
俺もそれに合わせ、手をほどいた。,
【聖女】,
「どうされたのですか、昨晩はなさらなかったのに」,
俺が食前の祈りを捧げたのを見て、聖女が尋ねてくる。,
【カイム】,
「何となくだ」,
【聖女】,
「良い心がけです」,
【聖女】,
「天使様は、必ずや信じる者をお救いくださいます」,
【カイム】,
「そうだといいがな」,
【カイム】,
「牢獄では、天使に祈りながら死んでいく奴がごろごろしてる」,
【カイム】,
「天使は人の選り好みが激しい性格なのか？」,
牢獄での生活では、天使への祈りなんて何の役にも立たない。,
麻薬でイカレた男が、突然往来で刃物を抜く。,
その凶刃が、たまたま通りがかった少女の命を奪う。,
少女が信心深かろうが冒涜的だろうが、関係ない。,
たまたまそこにいた、という一事が、彼女の命を奪う。,
圧倒的な理不尽と不条理に、天使はどうやって慈悲の心を滑り込ませるのだろう？,
天使を信じるなど、無駄なことだ。,
少なくとも、牢獄では。,
【聖女】,
「ただ素直に救いを求めることこそ救いへの道なのです」,
【聖女】,
「そう斜に構えていては、見えるはずのものも見えなくなりますよ」,
【カイム】,
「ありがたいお言葉だな、涙が出そうだ」,
【聖女】,
「では、泣いてみてはいかがでしょうか」,
【聖女】,
「涙も時には癒しとなるものです」,
……喧嘩を売っているのか？,
【ティア】,
「カ、カイムさん……顔がこわいです……」,
【カイム】,
「生まれつきだ」,
息を吐いて、気持ちを静める。,
【カイム】,
「それより聖女さん、昨夜は天使の声は聞こえたのか？」,
【聖女】,
「……いえ」,
【カイム】,
「おいおい、天使のお導きがあるんじゃなかったのか？」,
【聖女】,
「きっと、天使様に何か事情がおありだったのです」,
【聖女】,
「昨夜は時がふさわしくなかったのでしょう」,
適当な話だ。,
【カイム】,
「あんたの話を聞いてると感動で<めまい>眩暈|がするよ」,
【カイム】,
「どうやら天使はお忙しいようだ」,
【カイム】,
「俺たちも暇じゃない、食事が済んだら牢獄に帰る」,
パンを口に運びながら聖女に告げる。,
【ティア】,
「カ、カイムさん……」,
【聖女】,
「御子、どうかカイムさんを説得していただけませんか」,
【聖女】,
「私は御子をお守りしたいだけなのです」,
【ティア】,
「う、うーん」,
ちらりと俺の顔を見て、ティアは聖女に頭を下げる。,
【ティア】,
「……すみません、聖女様」,
【ティア】,
「カイムさんが帰ると仰るなら、わたしも帰ります」,
【ティア】,
「カイムさんが決めたことに、わたしがわがままを言うわけにはいかないです……」,
【聖女】,
「御子……」,
【カイム】,
「もともと今日までという約束だったはずだ」,
【カイム】,
「悪いが牢獄に帰らせてもらう」,
【聖女】,
「……お待ちください」,
【聖女】,
「なぜそこまで、急いで牢獄へお戻りになるのですか？」,
【カイム】,
「言っただろう、俺たちも暇じゃないんだ」,
【カイム】,
「向こうに戻れば仕事もある」,
【聖女】,
「お金が必要なのでしたら、私が用意します」,
【カイム】,
「遠慮しておこう」,
【聖女】,
「なぜです？」,
【カイム】,
「金を受け取れば仕事になる」,
【カイム】,
「夢を見るまで寝て待つのが仕事です、とでも言うつもりか？」,
【カイム】,
「そんな薄気味悪い金は受け取れん」,
【聖女】,
「おかしな話です」,
【カイム】,
「報酬と仕事の内容が釣り合わない話には、必ず裏がある」,
【カイム】,
「ただほど高いものはない」,
【カイム】,
「後で必ず見合わないほどの対価を払わされる」,
【カイム】,
「上層の方はご存じないらしいが、牢獄では誰でも知ってることだ」,
聖女が小さくため息をつく。,
【聖女】,
「カイムさんは随分と牢獄がお好きなようですね」,
【カイム】,
「好きで住んでるわけじゃない」,
【聖女】,
「ならば出ればよいのです」,
【聖女】,
「なぜそうなさらないのですか？」,
【カイム】,
「知った風な口を利くな。簡単に出られれば苦労はしない」,
【聖女】,
「現に、今は出ています」,
【カイム】,
「屁理屈だな」,
【聖女】,
「私のお金は受け取らず、牢獄に戻って別のお仕事をされるわけですね」,
【聖女】,
「好きでもないところのお仕事に、すぐにでも戻られたいというのは、一体どのような感覚なのでしょうか」,
【カイム】,
「……」,
言葉に詰まる。,
【聖女】,
「カイムさんは<グラン・フォルテ>大崩落|に遭われたのでしたね」,
【カイム】,
「……ああ」,
【聖女】,
「先代の聖女イレーヌ様を、憎んでいますか？」,
【カイム】,
「当たり前だ」,
【カイム】,
「牢獄の人間は皆、聖女に地獄へ堕とされた」,
【カイム】,
「恨まない方がどうかしてる」,
【聖女】,
「なるほど」,
聖女が小さく微笑む。,
【聖女】,
「でしたら、御先代に感謝しなくてはなりません」,
【聖女】,
「あなたは御先代に救われたのですから」,
【カイム】,
「ふざけてるのか？」,
聖女だからと遠慮していたが、さすがに限界はある。,
【カイム】,
「牢獄で、先代に感謝する馬鹿がどこにいると思う」,
【聖女】,
「怒られるのもごもっともです」,
【聖女】,
「いいのですよ、あなたは<ことさら>殊更|に間違っているというわけではありません」,
【聖女】,
「この世界は不条理に溢れています」,
【聖女】,
「そこから人々を救うためにこそ聖教会はあり、聖女が存在するのですから」,
聖女は淡々と言った。,
俺の言葉に正面から反論しているようで、どこかズレている。,
何か、俺の知らないことが下敷きになっているようだ。,
【カイム】,
「……何が言いたい」,
【聖女】,
「知りたければ、聖殿に<とうりゅう>逗留|してください」,
【聖女】,
「カイムさんが望まれるだけ、お話し致しましょう」,
【カイム】,
「話にならない」,
【聖女】,
「どうしても納得のいくお仕事が必要だというのであれば……」,
【聖女】,
「そうですね……」,
【聖女】,
「ここに留まり、私のチェスのお相手でもしていただけませんか」,
【カイム】,
「ラヴィとでもやればいい」,
【聖女】,
「あの者は、遊び方を知りません」,
【聖女】,
「ラヴィから聞きましたが、あなたは何でも屋なのでしょう？」,
【聖女】,
「チェスの相手ぐらいできないようでは、お仕事も成り立たないのではないでしょうか」,
あからさまな挑発だった。,
しかし、先の聖女の言葉は妙に引っかかる。,
どうして俺が先代聖女に救われねばならない？,
先代の聖女が祈りを怠ったせいで、俺は牢獄に落ちたのだ。,
そう思いながら、何故か聖女の言葉を否定できなかった。,
胸の奥で、何かが<おきび>熾火|のように<くすぶ>燻|っている。,
牢獄に戻ったところで急ぎの仕事はない。,
少し付き合ってみるか。,
【カイム】,
「……いいだろう」,
【カイム】,
「しばらくチェスの相手をしてやる。だが俺は高いぞ」,
【聖女】,
「構いません、高いなりの腕を見せていただければ」,
聖女が笑う。,
人を挑発して乗せようとするあたり、それなりに頭は回るらしい。,
そのくせ笑顔は妙に純粋で、大人と子供が同居しているようなところがある。,
牢獄では見かけない人種だ。,
【ティア】,
「えっと、カイムさん……」,
【ティア】,
「わたしもここに残っていいんですね？」,
【カイム】,
「ああ、構わんぞ」,
【ティア】,
「嬉しいです」,
【ティア】,
「わたしだけ帰れと言われたらどうしようかと思いました」,
【カイム】,
「お前、話を聞いてなかったのか？」,
【カイム】,
「それじゃ聖女さんが納得しないだろう」,
【聖女】,
「当然です、御子がいてこそのカイムさんなのです」,
【カイム】,
「釈然としない言い方だな」,
【ティア】,
「あははは……」,
聖女の発した、俺が先代の聖女に救われているという言葉。,
チェスの相手をしているだけで、その真意を教えてくれるというなら、多少時間を使ってもいいだろう。,
大聖堂へ<とうりゅう>逗留|することを知らせに、牢獄を目指す。,
出がけにラヴィから手渡された聖印があれば、関所の通行は自由らしい。,
便利なものだ。,
牢獄で売ろうとすれば、いくらの値がつくだろう。,
【カイム】,
「ん……？」,
ふと、こちらに向けられた視線に気づく。,
【ルキウス】,
「珍しいところで顔を合わせるものだな」,
【カイム】,
「あんたは」,
ルキウス卿だった。,
階段の上、貴族街から降りてくる。,
階上には衛兵が立ち、目を光らせていた。,
【ルキウス】,
「牢獄を出て、上層で暮らすことにしたのか？」,
【カイム】,
「まさか、ただの野暮用だ」,
【ルキウス】,
「大聖堂にか？」,
知っていて訊いたのか。,
【カイム】,
「さすがは優秀な貴族様だ。耳が早いな」,
【ルキウス】,
「それほどでもない」,
【ルキウス】,
「聖教会に親しい友人がいるものでね……」,
【ルキウス】,
「たまたま騒動が耳に届いたのだよ」,
【ルキウス】,
「まさか、君たちの名前が出てくるとは思わなかったがな」,
聖女は、聖職者達の前で、ティアが天使の御子だと宣言した。,
あの中に知り合いがいたなら、ルキウス卿の耳に届いても不思議ではない。,
【カイム】,
「それなら、隠しても意味はないな」,
【カイム】,
「しばらく大聖堂に<とうりゅう>逗留|することになった。その報告をしに牢獄へ帰るところだ」,
一日や二日空けるくらいならいいが、数日に及ぶなら話は別だ。,
無用な心配はかけないよう、エリスやジークに報告しておいた方がいい。,
【ルキウス】,
「そうだったか」,
ルキウス卿はちらりと太陽を見上げる。,
【ルキウス】,
「急ぎでないのなら、少し一緒に歩かないか」,
【カイム】,
「どういう風の吹き回しだ？」,
【ルキウス】,
「貴族とて、たまには息抜きがしたくなる」,
【カイム】,
「なるほど……」,
ルキウス卿が、意味もなく牢獄民と散歩するとも思えない。,
何らかの意図があるのだろう。,
少し付き合ってみるか。,
【カイム】,
「わかった」,
ルキウスの後ろに付き、街を進む。,
辿り着いたのは、見覚えのある場所だった。,
【ルキウス】,
「カイムはここに来たことがあるか」,
【カイム】,
「ああ」,
下層の絶壁の突端に、一段高くなった構造物が張り出している。,
見晴台にも見えるが、ここは先代聖女が処刑された場所だ。,
俺を含め、<グラン・フォルテ>大崩落|で多くを失った人々は、聖女の処刑を見るため、ここに殺到した。,
【集まった住民】,
「聖女を殺せ」,
【集まった住民】,
「聖女を殺せ、聖女を殺せ！」,
【集まった住民】,
「聖女を殺せっ！！！」,
俺も群衆に混じって叫んでいたはずだ。,
聖女を殺せ、と。,
あの時、俺は何を感じていたのだろう。,
今となっては遠い記憶の彼方だ。,
【カイム】,
「あんなことはもうたくさんだ」,
【ルキウス】,
「そうだな」,
【ルキウス】,
「当代の聖女様には、祈りに励んでいただきたいものだ」,
【カイム】,
「励んでいたな」,
ルキウスが不思議そうな顔をする。,
【カイム】,
「昨日、聖女の儀式を見せてもらった。なかなか大層なものだったぞ」,
【カイム】,
「あれを毎朝毎晩やっているなんて頭が下がる」,
【ルキウス】,
「なるほど」,
苦笑するルキウス。,
【カイム】,
「何がおかしい？」,
【ルキウス】,
「特別被災地区の人間は、聖女様が祈りを怠ったために憂き目に遭った」,
【ルキウス】,
「もっと聖女様を恨んでいるのかと思っていたよ」,
その言葉に、思い出す。,
【聖女】,
「でしたら、御先代に感謝しなくてはなりません」,
【聖女】,
「あなたは御先代に救われたのですから」,
【聖女】,
「この世界は不条理に溢れています」,
【聖女】,
「そこから人々を救うためにこそ聖教会はあり、聖女が存在するのですから」,
【カイム】,
「そう思っていたんだがな」,
聖女は、都市を浮かせるために存在している。,
だとしたら、あの言葉はどういう意味だったのか。,
【ルキウス】,
「もう少し行こうか」,
【カイム】,
「ああ」,
ルキウス卿が歩きだす。,
【カイム】,
「ところで、クスリの件はどうなったんだ？」,
ベルナドが死んでから、牢獄に例のクスリが出回ることはなくなった。,
だが、その出所は依然として不明のままだ。,
【ルキウス】,
「あの件では世話になったな」,
【ルキウス】,
「礼が遅くなってすまない」,
【カイム】,
「いや、俺も羽狩りに危ないところを助けられた。お互い様だ」,
【カイム】,
「それで、クスリの出所はわかったのか？」,
【ルキウス】,
「いや、まだだ」,
【ルキウス】,
「下手に動けばこちらの寝首を<か>掻|かれかねないのでな」,
【ルキウス】,
「だが、必ず明らかにする」,
決意を秘めた声で言い、ルキウス卿が歩きだす。,
話し方によるものか単に好みの問題か、ルキウス卿の声には妙な説得力を感じる。,
騙されないよう注意が必要だ。,
周囲には、うち捨てられた建物。,
荒れた道は、少し先で何の前触れもなく途切れている。,
聖女の処刑場に、<グラン・フォルテ>大崩落|の跡地か。,
散歩で回るにしては、いささか酔狂な場所だ。,
一体、どういうつもりだろうか。,
【カイム】,
「ここは、<グラン・フォルテ>大崩落|の時のままだな」,
【ルキウス】,
「地盤が弱っているせいで、片付けも再利用もされていない」,
【ルキウス】,
「もう、死んだ土地だ」,
大地に亀裂が走り、断崖絶壁が広がっている。,
その下はどこまでも雲が広がり、大地はほとんど見えない。,
【ルキウス】,
「……」,
ルキウス卿は、その光景を厳しい目で見つめている。,
【カイム】,
「<グラン・フォルテ>大崩落|の時、あんたはどこにいたんだ」,
【ルキウス】,
「貴族街にいたよ」,
ルキウス卿は小石を拾い、手の中で転がし始める。,
【ルキウス】,
「時折思うのだ、どうして崩落は起こったのだろうか、と」,
【カイム】,
「聖女が祈りを怠ったからに決まってるだろう」,
【ルキウス】,
「祈り、か」,
【ルキウス】,
「祈りで全ての人が救われるのなら、それに勝ることはないのだがな」,
【カイム】,
「そのために聖女は祈り続けているんだろう」,
【ルキウス】,
「……まあ、そうだな」,
ルキウス卿がどこか寂しそうに笑った。,
【ルキウス】,
「現実は厳しい。貴族も楽ではない」,
【ルキウス】,
「だから、たまにここに来て己の意味を問うてみるのだ」,
ルキウス卿は、特別被災地区を元の姿に戻すことが自分が生まれてきた意味だと言っていた。,
特別被災地区の姿を目にしてきたとはいえ、熱心過ぎる気もしないではない。,
【カイム】,
「ルキウス卿、あんたはどうして……」,
【カイム】,
「っ……」,
【ルキウス】,
「む……」,
大地が揺れ、地鳴りが響く。,
【カイム】,
「おいっ！？」,
【ルキウス】,
「っ？？」,
咄嗟にルキウス卿の腕を掴んでいた。,
【ルキウス】,
「大丈夫だ、大した地震ではない」,
言われて我に返る。,
揺れはもう収まっている。,
ルキウス卿が落ちてしまうような錯覚に囚われたが、その危険はなかった。,
俺達は崖のかなり手前に立っていたのだから。,
気まずくなり、ルキウス卿から手を離す。,
【カイム】,
「すまない」,
【ルキウス】,
「助けようとしてくれたんだろう？」,
【カイム】,
「ああ……間抜けな話だ」,
【カイム】,
「この程度の地震で、崩れるはずなどないのにな」,
【ルキウス】,
「<グラン・フォルテ>大崩落|を経験したのだ、過敏にもなる」,
ルキウス卿が微笑む。,
【ルキウス】,
「それにしても、近頃は地震が多い」,
【カイム】,
「あ、ああ」,
【ルキウス】,
「こう地震が続いては、聖女様も大変だな」,
【カイム】,
「きっと祈りが足りていないんだ、自業自得だろう」,
祈りがきちんと届いていないからこそ、こんなにも地震が続く。,
【システィナ】,
「ルキウス様、こちらでしたか」,
【ルキウス】,
「システィナか」,
背後から、システィナが近づいて来た。,
【システィナ】,
「お出かけになるのでしたら、一言仰ってください」,
【システィナ】,
「ルキウス様の身にもしものことがあっては困ります」,
【ルキウス】,
「大丈夫だ、カイムと一緒にいたからな」,
俺が腕を掴んだことを言っているのだろう。,
【システィナ】,
「ルキウス様に何かされましたか？」,
【カイム】,
「世間話をしていただけだ」,
<いぶか>訝|しげな目で<にら>睨|まれる。,
【システィナ】,
「ルキウス様、間もなく面会予定のお客様がいらっしゃいますので、お戻りください」,
【ルキウス】,
「仕事に戻らねばならないようだ」,
【ルキウス】,
「すまないな、カイム」,
【カイム】,
「気にしないでくれ」,
【ルキウス】,
「自由に行動できる君が羨ましいよ」,
【カイム】,
「牢獄に落ちてみればいい。そんなことは言えなくなる」,
【システィナ】,
「無遠慮が許されているとはいえ、程度はわきまえてください」,
【カイム】,
「昨日も同じことを言われたな」,
【ルキウス】,
「聖女様にか？」,
【カイム】,
「そのお付きの方だ」,
ジークや先代の前でも、ずっとこんな調子でやってきた。,
今さら変えられるものではない。,
【ルキウス】,
