とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「お礼を言わなければならないことは山ほどありますが、その逆は身に覚えがありません」,「虽然我应该感谢您的事数不胜数，但我并不记得自己曾做过什么需要被您反过来感谢的事情」,
「不断の祈りをしていた時より眠くなるなんて、体がおかしくなったのかと」,「比在进行不断祈祷的时候更加的困乏，害得我还以为是自己的身体出了什么异状了呢」,
「前に進んでください」,「请您，勇敢地向前走吧」,
「あなたの進む先に幸多からんことを、私は牢獄で祈っております」,「为了能让您在前进的道路上遇到很多幸福的事情，我会在牢狱由衷地为您祈祷」,
俺の荒唐無稽な話も、笑わずに聞いてくれるだろう。,就算我所说的话再荒唐无稽，他也会严肃地听我讲述的吧。,
上層を見上げ、その上に広がる空を仰いだ。,我抬头仰望上层，以及在那之上悠远的天空，如是想到。,
牢獄を出て間もなく、俺はルキウス卿に今後を相談した。,刚离开牢狱没多久，我就去找鲁基乌斯卿商量了今后的事情。,
いつかその日が来たら──,如果那一天真的到来的话――,
「そうか、元気そうで安心した」,「这样啊，听到她这么精神我就放心了」,
ティアも賛成していたので、好きなようにさせている。,而且，缇娅自己也很赞成这种做法，所以我就随着她去了。,
「すっかり治って、毎日コレットと仲良くやっている」,「嗯，她现在已经痊愈，和柯蕾特每天都相当要好地相处着」,
「ああ、仕事だろう」,「啊啊，应该是在工作吧」,
「聖職者だった頃の癖が抜けないんだろうな」,「当圣职者的时候养成的习惯一时半会是改不回来了」,
「問題はないと思いますが、一応ルキウス様のお耳に入れておきます」,「虽然我不觉得这会有什么问题，但是还是姑且会向鲁基乌斯大人报告一声的」,
「困ったことがあったら相談してください」,「如果有什么困扰的地方，就请和我们商量吧」,
「そう言うな、雨の日の友だろ」,「别那么说啊，咱们可是雨天之友吧」,
今じゃ本当の姉妹のようだ。,现在的她们，真像是一对姐妹。,
それを優しく見守り、支えてやる姉。,以及在她的身旁温柔地守护者、支撑着她的姐姐。,
そんなところだ。,她们就是这样的两个人。,
「今日はこれからどうする」,「今天接下来有什么要做的吗？」,
「特に予定はありません」,「倒是没有什么特定的安排」,
「あの頃には戻れません」,「已经无法回到那时候的状态了」,
「今こうしてチェスを打てるのは、カイムさんのお陰です」,「而今又陪我下象棋，这些全都是我需要感谢凯伊姆先生的事」,
「それに、ラヴィからの依頼だったからな」,「而且，这毕竟是我从拉菲那里接受的委托啊」,
盤上も同じだった。,棋盘上的局势也同样如此。,
「それもある」,「也有这个因素」,
「それも？　他には？」,「也有？还有其他原因吗？」,
「では、思う存分私と楽しみましょう」,「那么，就和我开开心心地过上这一天吧」,
ぺろりと舌を出す。,然后，微微地吐出舌头。,
仕方のない奴だ。,真让人拿她没办法。,
「楽しいところだ」,「一个会让你开心的地方」,
「少し驚くかもしれない」,「你可能会稍微有点吃惊也说不定」,
こちらの姿を認めて驚く。,看到我们以后，拉菲吃了一惊。,
こちらを気にしつつ、返事する。,拉菲一边回应着客人，一边还在在意着我们。,
俺とコレットは適当な席に座る。,我和柯蕾特随便找个座位坐了下来。,
「お前、まだ熱いの苦手だろう」,「你应该很不习惯吃太热的东西吧」,
「妬けるな、おい」,「你嫉妒个什么劲啊」,
「いいぞラヴィ。コレットの暴走を止めてくれ」,「正好，你赶快把柯蕾特的暴走给制止下来，拉菲」,
相変わらず押しに弱いな。,这家伙一推就倒的性格还是没变啊。,
「そこは否定しろ」,「拜托你否认一下吧」,
「ほまえら、おぼへてろ」,「偶缩你们啊，给偶记好叻」,
やっと、二人のあるべき姿に戻れたのかもしれない。,现在的两人，或许已经真正取回了她们曾经相依为命时的那份亲密。,
この世界は皆、自分が信じたいことを信じている。,在这个世界上，每个人都只相信自己所想要相信的东西。,
俺とコレットが無理に寝かせて世話を続けたが、いつもそわそわしていた。,虽然在我和柯蕾特强烈的劝阻下而勉强地静养到现在，但她即使躺着也总是冷静不下来。,
激しく手を振る。,拉菲用力地摆着手否认。,
「ただ、その言葉遣いはやめろ」,「不过，那种说话方式还是改改吧」,
これは当分、直りそうにないな。,估计，这在一段时间里是改不过来了。,
「今日はコレットの番だ」,「今天轮到柯蕾特来做家务」,
「お付きとしてではなく……家族として」,「不再是作为她的随从……而是作为她的家人」,
元から姉妹のような奴らだ。,毕竟，她们从前就很像一对姐妹了。,
「なるほど、お前らしいな」,「原来如此，这个想法很有你的风格啊」,
「いいも何もない。さっき言った通り、俺はお前の主人じゃない」,「没什么可不可以的。就像我刚才所说的那样，你我并不是从属的关系」,
「自分のことは自分で決めていい」,「自己的事情，只要自己去做出决定就好」,
「何だ？」,「什么问题？」,
「このご恩は一生忘れません」,「这是我们一生都无法忘记的恩情」,
「……でも、一つだけ不思議でした」,「……可是，有件事我觉得很不可思议」,
「難しい質問だな」,「这问题还真难回答」,
任せておくと失敗するのが見え見えだったからか？,是因为把事情交给她做，就只能看到她一次次地失败，因而觉得不爽吗？,
「きっと私にはわかりませんから」,「就算得出来了，我肯定也听不懂的」,
驚いた。,我也吃了一惊。,
「女同士ですから。見ていればわかります」,「我们都是女孩子，这种事情只要看一眼就清楚了」,
「嫌ならふりほどけ。抵抗しないなら俺の好きにさせてもらうぞ」,「讨厌的话就把手挣脱开。如果不抵抗，我就按照自己喜欢的方式做下去了哦」,
ラヴィの柔らかい唇にキスをした。,然后，在她那柔软的嘴唇上印上一吻。,
仕方のない奴だ。,真是个让人没办法的家伙。,
「嫌ならキスするぞ」,「讨厌的话我就亲你喽」,
ラヴィの腕を引いて歩く。,我牵着拉菲的胳膊向前走去。,
「嘘だから気にするな」,「开个玩笑而已，不用介意」,
「カイム様ひどい」,「凯伊姆大人好过分」,
「顔が沸騰しそうです」,「我的脸都快要热的沸腾起来了」,
「いや、違う」,「看了你就知道了」,
ここだな。,是这里了啊。,
【果物屋の客】,【水果店的客人】,
【果物屋の客】,【水果店的客人】,
【果物屋の客】,【水果店的客人】,
【果物屋の客】,【水果店的客人】,
「ふざけんな、順番だろ」,「开什么玩笑，按顺序来啊」,
順番に銀貨を受け取り、林檎の入った袋を渡していく。,水果店年轻的看板娘按照顺序收下银币，将苹果放到袋子里递给顾客。,
「カイム様……」,「凯伊姆大人……」,
独り言のように呟き、少し寂しげに笑った。,拉菲自言自语地说着，露出带有少许寂寞的笑容。,
聖殿にいた頃の、張りつめたものを覆い隠すような笑顔ではない。,她的笑容中，已经不再有处于圣殿时那种时刻绷紧每一根神经的威严。,
性に合わないが、ここは無理にでも話を進めておこう。,虽然不符合我的性格，不过这里也只有靠我来硬着头皮说出去了。,
「カイム様……」,「凯伊姆大人……」,
「ラヴィ、お前……」,「拉菲，我说你啊……」,
「それは困るな」,「那样我会很为难啊」,
一度、二人は死んだのだ。,所以，她们已经死过一次了。,
人は皆、自分が信じたいことを信じている。,在这个世界上，每个人都只相信自己所想要相信的东西。,
牢獄民は聖女の処刑に胸を撫で下ろし、再び苦難に満ちた日常生活に戻っていた。,牢狱的民众们都因为圣女被处刑而得到安抚，再次回到那满载着苦难的日常生活之中。,
血や膿や汚物が石畳を染め、悪臭が目に滲みる。,石路上满是污秽的血液和脓液，散发出恶臭的气味。,
階段を昇り終えると、貴族の屋敷街は目の前だ。,走到楼梯的顶端后，贵族的住宅区出现在我们的面前。,
少し崖が崩れれば、一巻の終わりだ。,只要悬崖稍微崩落，这里就万事俱休了。,
「よくこんなところに住めるな」,「还真亏得你们能住在这种地方啊」,
周囲の屋敷は石像や植樹で威勢を顕示しているが、ルキウス卿の屋敷は飾り気がない。,虽然周围的房子都在藉着建造石像与种植大树来彰显自己的威势，但鲁基乌斯卿的房子却看不到这种装饰。,
こいつに好かれてないのは知っているが、命を狙われる覚えはない。,虽然我也知道自己不讨这家伙的喜欢，但也没想到居然会被她盯上性命。,
「ルキウス様の……」,「鲁基乌斯大人的……」,
システィナに案内され、館の一室に入る。,在西斯狄娜的带领下，我来到了公馆中的一个房间。,
促されて椅子に座る。,我在鲁基乌斯卿的示意下坐了下来。,
「勝手なことをするな」,「不要擅自做出这种事来」,
折り目正しく礼をするが、内心はどうだか。,虽然表面上是端正地行了个礼，她内心怎么想的可就不得而知了。,
「生半可な人間には頼めないものだ」,「这份工作很重要，不能拜托给实力不足的人」,
「報酬の詳細も含めて」,「当然也包括详细的报酬」,
「話が早い」,「说得还真是毫不做作啊」,
ルキウス卿が小さく笑う。,鲁基乌斯卿微微地笑了起来。,
「興味深いな」,「这我可是很感兴趣」,
仕事をこなせば、都市のことを教えてくれるらしい。,看来，只要能搞定这份工作，他就会告诉我有关这座都市的秘密。,
「なるほど、それで腕試しか」,「原来如此，所以才要试探我的实力么」,
わざわざ憎まれ口を叩く。,西斯狄娜刻意嘲讽般地说道。,
無視してルキウスと話す。,我无视掉她，向鲁基乌斯询问。,
「話の中身による」,「这要根据内容来决定」,
「与太話程度なら手を引くだけだ」,「如果你说的只是些天方夜谭，那我就会抽手不干，就这么简单」,
「カイム、私は君を安く使うつもりはない」,「凯伊姆，我没想过让你一个人承担这份工作」,
「なぜ簡単に俺を信用する？」,「为什么这么简单地就相信我了？」,
「だから、信頼に基づいて行動してくれると助かる」,「所以，我还是会以信赖你为大前提，去帮助你展开行动」,
「あんたの話が面白ければ、だが」,「前提是，你的话确实能让我感兴趣」,
以前、ルキウスから聞いた名だ。,我以前曾经从鲁基乌斯那里听到过这个名字。,
ルキウス卿が頷く。,鲁基乌斯卿点了点头。,
「そいつが、都市の秘密を握ってるわけか」,「你的意思是，他掌握着这个都市的秘密吗？」,
「だから、私は秘密裏に都市の謎を探ってきた」,「所以，我才会暗地里进行对这座城市之谜的调查」,
「私も独自に調査を続けているが、執政公が相手では派手な行動は取れない」,「虽然我也一直在独自地做着调查，但对手是执政公，我这边也无法采取什么像样的行动」,
「さっきも言った通り、執政公はこの件に敏感だ」,「就像我刚才所说的那样，执政公对这件事非常敏感」,
「どちらかと言えば用心棒か」,「也就是说，要我做你的保镖么？」,
「執政公は、専横ぶりから敵も多い」,「执政公非常专横，因此也有着很多敌人」,
「売っても都市の謎は解明されない」,「就算出卖我，也没法解明这座城市的谜团」,
「それでも良いなら、一つの選択肢だろうな」,「如果你觉得这样也无所谓的话，这倒是一个选项」,
「特別被災地区の有り様を見てもそう思うか？」,「就算看到特别受灾地区的现状，你也还是会这么想吗？」,
牢獄の人間が苦しみ続けてきたのは、執政公のせいだというのか。,难道说，牢狱的人们所受到的这些痛苦，全都是执政公一手造成的吗？,
「で、俺にその武装蜂起へ加われと」,「那么，我也会被卷入那个什么起义么」,
「ならば、今夜あるものを見せよう」,「那么，今天晚上我就让你看一样东西」,
「都市の謎に近づくためのことなら、できる限り協力する」,「只要能让我更接近这座都市的隐情，我会尽可能地来帮助你」,
「悪いが、武装蜂起に協力するかは保留だ」,「不过，关于参加起义这点我还是要持保留意见」,
「今のところはそれで十分だ」,「现在能做到这样就已经足够了」,
握手か。,是要握手么。,
そこまで信用したわけではないが、まあ形式上のものだ。,虽然我还没有信任他到这种地步，不过走走形式还是很必要的。,
その感触に、不思議な感覚が蘇る。,这份感触，让我的心中产生了一份不可思议的感觉。,
ジークですら呼び捨ててきた俺は、敬称で人を呼ぶなど滅多にない。,对于就连对吉克都是直呼其名的我来说，用敬称去称呼人相当的不舒服。,
「ルキウス様のご判断です」,「我会听从鲁基乌斯大人的判断」,
慌てて顔を伏せる。,西斯狄娜慌忙低下了头。,
苦笑するルキウス。,鲁基乌斯卿苦笑着说道。,
「ではルキウス、具体的な話をしよう」,「差不多也该谈谈具体的事宜了吧，鲁基乌斯」,
「そんなことをして大丈夫なのか？」,「把这么重要的任务拜托给我，没问题吗？」,
「むしろ、カイムにしか頼めない」,「倒不如说，能拜托的人就只有你了」,
城内で自由に動ける駒になってくれ、ということだな。,也就是说，要将我作为能够自由行动的棋子派到王城内部去啊。,
「屋敷はシスティナに案内させよう」,「西斯狄娜，将凯伊姆带到他的房间去」,
「では、案内します」,「那么，请由我为您带路」,
ルキウスの邸内は外観同様質素だった。,鲁基乌斯的房子，其内在与外表一样朴素。,
「倹約家か」,「真是个节俭的人啊」,
通された部屋は、ルキウスの部屋より豪華だった。,西斯狄娜带我来到的房间，比鲁基乌斯的房间还要豪华。,
気のせいか。,是我的错觉么。,
「面会はご自由に」,「想要见面的话请自便」,
外出の準備など別段必要ない。,就算要外出也没什么需要特殊准备的东西。,
やれやれだ。,真是拿她没辙。,
「それを知るために、いま俺は動いている」,「我现在所做的事情，就是为了去探寻那个原因」,
「不満か？」,「有什么不满么？」,
「意外というか、何というか……」,「该怎么说呢，应该是有点意外吧……」,
逆に、似合いたくもないと思う。,再说，我也没想过要去沾染王族的气息。,
同じ人間でありながら、一体何が二つを分けるのか。,只有一个身体的我，当然不可能去同时迎合这两个极端。,
「まあいい、それより調子はどうだ？」,「这件事姑且不提，你的身体怎么样了？」,
「あ、はい」,「啊，那个啊」,
「何を嫌がってる」,「有什么好讨厌的？」,
「ティア、背中に違和感ないか？」,「缇娅，你的后背没有什么违和感吗？」,
「断言しなくても……」,「你也不用否定得这么坚决吧……」,
「どう、と言われても……」,「就算您问我是怎么做的……」,
「自分の羽は消せないのか」,「你不能让自己的翅膀也消失掉么？」,
それができたら、まさに天使の御子そのものだ。,能做到这点的话，她就真的能称得上是天使的圣子了。,
「何だ」,「什么事」,
コレットには悪いが、ティアの力は特殊過ぎる。,虽然对柯蕾特很过意不去，但缇娅的力量太过于特殊。,
「構わないが、どうした？」,「我倒是无所谓，不过为什么要问这个问题？」,
神妙な顔で頷く。,缇娅带着微妙的表情点了点头。,
「何が見えた？」,「你看到什么了？」,
だが、いかんせん情報が断片的すぎた。,不过，这些情报都只是一些片段而已，不能妄下定论。,
「ルキウスにもそう伝える」,「我也会这么告诉鲁基乌斯的」,
「それに、メルトさんのためにも力の正体が知りたいですから」,「而且，就算是为了梅尔特小姐，我也希望能弄清这个力量的实质」,
「お前がそう言うならいい」,「既然你这么说，那我也就没什么意见了」,
夜──,夜晚――,
俺とシスティナは、予定通り外に出た。,按照事先的约定，我和西斯狄娜走了出来。,
「で、どこへ行くんだ」,「那么，咱们这是要去哪里？」,
「そういうのは慣れている」,「这种事对我来说已经是轻车熟路了」,
岩場を飛び、下にある屋敷の屋根へ静かに着地。,越过岩石堆以后，静静地在下面一间房屋的屋檐上着地。,
身体の研鑽は怠っていないようだ。,她似乎没有懈怠对自己身体的锻炼啊。,
……さて。,……接下来。,
どうやら、こいつはルキウスの隣を奪われるのが嫌らしい。,看起来，这家伙似乎很讨厌我将鲁基乌斯副手的这个位置夺走。,
素っ気なく言い、細い路地へと入っていく。,毫不客气地说完后，西斯狄娜就走进了狭窄的小巷。,
後を追う。,而我则在后面跟着她。,
「で、これからどうするんだ」,「那么，接下来是要去做什么？」,
俺もその傍に隠れる。,我也在她的旁边躲了起来。,
窓のない、黒塗りの馬車だ。,那是辆没有窗户的，通体漆黑的马车。,
「夜中に馬車が乗り付けた話をしたはずだ」,「我应该跟你说过，有关半夜所见到的那辆马车的事情」,
積んでいる荷が重いのだ。,而是上面装载的东西太重了。,
証拠に馬の息はかなり荒い。,证据就是，拉车的马的呼吸非常紊乱。,
「死体処理だな」,「这是在处理尸体吧」,
「生きていれば話が聞けたはずだ」,「如果让他活下来，应该能问到一些情报」,
息を飲む。,我屏住了呼吸。,
極端に痩せ、骨と皮だけになっている。,尸体极度的消瘦，已经是皮包骨头的状态。,
「羽つきか」,「是羽化病人么」,
「何？」,「什么？」,
奴は、治癒院が何らかの実験施設だと言っていた。,他曾说过，治愈院是为了进行某种实验而存在的设施。,
「ルキウス様の叛意に気付かれては、全てが終わりです」,「一旦鲁基乌斯大人的反叛之意被注意到，那就万事俱休了」,
「賢明だ」,「很聪明的判断」,
その施設が、治癒院だ。,为此而衍生的设施，便是治愈院。,
施設はやがて火災に遭い、黒羽は牢獄に逃げ出す。,幸亏设施不久之后发生了火灾，黑羽才得以从他们手中逃出。,
俺達が火災跡地から見つけた黒い粉。,我们曾在火灾的遗迹中发现某种黑色的粉末。,
全ては執政公の研究だ。,这一切的源头，都是执政公的那个研究。,
「火災は偶然か？」,「那场火灾是个偶然吗？」,
「疑うのは当然だ」,「我会怀疑是理所当然的」,
「ルキウスが、俺に協力を依頼する意味がわからない」,「我还不知道，鲁基乌斯他为什么坚持地在寻求我的帮助」,
「俺一人の力でどうこうできる問題ではないだろう」,「就算多我少我一个人，对大局也不会产生丝毫影响吧」,
「本来ならば、貴方など必要ないはずなのに」,「本来，我就不认为您的加盟对我们而言有任何的必要」,
とはいえ、協力は秘密の調査に限った話。,不过话又说回来，就算是协助，也只限于是秘密的调查。,
「カイム、君は王城では私の補佐官だ」,「凯伊姆，你在王城的身份是我的辅佐官」,
「俺はこのままでいいのか？」,「不过我就这个样子上去没问题吗？」,
「問題ないだろう」,「应该没什么问题吧」,
「貴族はともかく、補佐官は色々だからな」,「贵族先姑且不论，辅佐官可是有各种各样的」,
「色々？」,「各种各样？」,
「居心地の悪い思いはしなくて済みそうだ」,「看来我不用去摆出那副令人作呕的奴才样了啊」,
「ですが気をつけてください」,「没错，不过有一点还是希望你能注意」,
抜いただけで罪か。,只要亮出武器就会被问罪么。,
「他人の家で無礼を働けば罪になる、それだけのことだ」,「在他人的家里做出无礼的举动是有罪的，你这样理解就好」,
「十分に注意してください」,「所以，请您务必要注意这一点」,
軽く頷いて応える。,我微微点头作为回应。,
門衛の身分確認を滞りなく済ませ、城内に入る。,在门卫那里确认身份之后，我们便毫无阻碍地进入了城内。,
草木は丹念に刈り込まれ、朝日を受けて輝いていた。,被细心修剪过的花草，在朝阳的映照下显出耀眼的光辉。,
大聖堂は荘厳な雰囲気だったが、こちらは明るく華やかだ。,如果用庄严来形容大圣堂的氛围，那么最适合这里的词语便是华奢。,
全てが眩しく綺麗で、整えられている。,这里的一切都是那么的漂亮而整洁，令人目不暇接。,
「見た目は美しい城だが、中身は違う」,「这座城虽然外观很美，但是内在却不同」,
「特に貴族たちには注意してくれ」,「尤其是那些贵族，一定要对他们多加提防」,
赤絨毯の引かれた大広間に入った。,我们顺着红色的绒毯，来到一间大厅。,
呆れたものだ。,这真是让人吃惊。,
一際、貫禄のある貴族が現れた。,突然，一个威严的贵族出现在众人面前。,
「執政公、ギルバルト卿です」,「这就是执政公，吉尔巴鲁特卿」,
「ルキウス卿か、先日は世話になったな」,「是鲁基乌斯卿啊，前几天承蒙你照顾了啊」,
「例の件も順調だ」,「那件事进行得也很顺利」,
「卿の意見にはいつも助けられる」,「你的建议总是能起到很大的作用啊」,
「お父上を大事にな」,「要好好孝敬你父亲啊」,
丁寧に礼をするルキウス。,鲁基乌斯卿展现出无懈可击的礼仪。,
「どこかで聞いた名だな」,「好像在哪里听到过这个名字啊」,
「ご紹介にあずかりました、カイムと申します」,「鲁基乌斯大人已经介绍过了，我的名字叫做凯伊姆」,
精一杯、貴族流の言葉遣いを真似る。,我尽可能地用贵族风格的话来与之交流。,
「ルキウス卿と面影が似ているな」,「你和鲁基乌斯卿长得颇有几分相似啊」,
「時間か。ではな」,「到时间了，稍后见」,
「後のことは任せたぞ」,「之后的事情就拜托你了」,
不案内ではいざというときに困る。,对地形不熟悉的话，一旦发生紧急情况就难以应对。,
「少し歩いてくる」,「那我稍微去散散步」,
「剣は抜くな、だろ」,「不能拔剑出来，是吧」,
石像や緻密な絵柄の壺などが壁際に並び、扉が廊下の先まで連なっている。,墙边整齐地排列着石像与绘有精致花纹的玉壶，漫长的走廊一眼看去望不到头。,
さすがの広さだ。,这大小可不是说着玩的。,
通行証を見せる。,我将通行证拿给他看。,
「初めて拝見するお顔でしたので、念のための確認でした」,「以防万一，我需要对于初次拜见的面孔进行身份的确认，请您原谅我刚才的无礼」,
「私のわかる範囲でしたら何なりと」,「只要是我所知道的范围，我必当言无不尽」,
「リシア王女か」,「莉西亚公主吗？」,
王城に来る途中、ルキウスから聞いた名だ。,在来到王城的途中，鲁基乌斯告诉过我这个名字。,
近衛兵が直立不動の姿勢を取る。,近卫兵摆出端正的姿势对来人行礼。,
上官か。,这是他的长官吧。,
「後で詰め所に来い」,「之后给我来值班室一趟」,
「今のは？」,「刚才的人是？」,
穏やかな風が心地よい。,微风拂过脸颊，让人心情无比的舒畅。,
澄んだ空気を惜しみなく吸い、華美な暮らしを送り、庭園を楽しむ。,毫不吝惜地呼吸着这澄澈的空气，过着奢华的生活，在庭院中尽情地嬉戏。,
ふと、影が差す。,突然，眼前被阴影所遮盖。,
「落とし物だ」,「这是你掉下去的东西」,
「カイム……知らぬな」,「凯伊姆……没听说过呢」,
「今日初めて登城した、知るわけがない」,「我今天是第一次来王城，你自然不会听说过」,
陽光を浴びる敷布の白さが眩しい。,沐浴着阳光的床单，洁白得令人目眩。,
純白の布。,纯白的布料。,
牢獄において、それは富の象徴とも言えた。,放在牢狱里，这已经足以称为是富贵的象征了。,
「洗濯物が珍しいのか？」,「洗好的衣服有什么稀奇的吗？」,
「牢獄出身だ」,「我是从牢狱来的」,
変な女だ。,真是个奇怪的女人。,
「お前、召使いのくせに言葉遣いが荒いぞ」,「我说，你明明是个佣人，口气也有点太狂了吧」,
「お前、頭大丈夫か？」,「我说，你的精神正常么？」,
「許せ」,「请原谅」,
「堅苦しい言葉遣いは慣れていない」,「那种端庄的说话方式我反而听不习惯」,
「気が合うな」,「咱们还真是合得来啊」,
よくわからないが楽しそうだ。,她好像莫名其妙地感到非常开心。,
面倒なのに関わってしまった。,看来她也不喜欢那些繁文缛节啊。,
「ではその話を聞かせてくれ」,「那么，就跟我讲讲那边的事情吧」,
「なぜお前に？」,「为什么我要跟你说？」,
「風も風で大変だ」,「风也有它自己的辛苦啊」,
「止まれば風じゃなくなる」,「一旦停下脚步，风就不再是风了」,
「さて、俺は戻る」,「接下来，我也该回去了」,
「ルキウス卿の補佐官だ」,「我是鲁基乌斯卿的辅佐官」,
「何だ？」,「什么事？」,
「次までに、もう少し言葉遣いを覚えておけ」,「下次见面的时候，记得稍微改变一下你那个说话方式」,
「しかし、王女は会議に出席せずに裁決を下すのか？」,「但是公主没有出席会议，所以决策就无法拍板定案是么？」,
まるっきり操り人形だ。,简直就是个被操控的人偶。,
病床の現国王と、その代理人である年少の王女。,久卧病榻的现任国王，以及身为代理人的年少的公主。,
組織の大小を問わず、珍しくない話だ。,就算在再小的组织里，这也是相当常见的事情。,
そこに、足音も高く鎧姿の男が現れる。,然后，一名身着铠甲，迈着响亮步伐的男人出现在我们的视野中。,
「婿殿か」,「是婿殿啊」,
「婿殿というのは？」,「那个婿殿是怎么回事？」,
「政治的な意図で？」,「这是政治上的结姻么？」,
なかなか周到だ。,真是想得相当周全啊。,
と思いきや、王女の足音はこちらに近づいて来た。,正当我这样想着的时候，公主似乎突然向这边走了过来。,
誤魔化しても仕方がない。,会被他们误解也是没办法的事。,
「召使いだと思い、礼を失しました」,「我把公主大人当做了佣人，没有对她尽到礼数」,
小さく笑うリシア王女。,莉西亚公主微微地笑着说道。,
深く頭を下げる。,我深深地将头低下。,
「何らかの処罰は必要かと思いますが」,「我认为，必须要对他施以适当的处罚才行」,
「それは譲れんぞ」,「这点我是不会让步的」,
「カイム、お前には追って沙汰を伝えよう」,「凯伊姆，之后我会将对你的处置传达给你的」,
その後をヴァリアスと執政公が追う。,法利亚斯和执政公则跟在她的身后走去。,
「つまらん話だ」,「很无聊的事情而已」,
「洗濯などしてもわからないだろう」,「只是洗个衣服，和体察民情也不沾边吧」,
「まさか、リシア様は特別です」,「怎么可能。只有莉西亚大人是特殊的」,
「事故だ」,「这是事故」,
鞭打ち程度で済めばいいが。,如果能被鞭子抽一顿就了事就好。,
「ヴァリアス様は厳しい方です」,「法利亚斯大人是为非常严厉的人」,
「そのため、リシア様には人一倍厳しいですね」,「为此，他对莉西亚大人也比别人都要更加苛刻呢」,
「リシア王女の悪癖には手を焼いてそうだな」,「不过他好像拿莉西亚公主的这个坏习惯没什么辄啊」,
「リシア様とヴァリアス様の関係は、ご覧の通りです」,「如您所见，莉西亚大人和法利亚斯大人的关系十分不好」,
「注目されているな」,「我还真是引人注目啊」,
立場上、腹を括るより他はない。,说实话，只有硬着头皮等待受罚了。,
「どんな処罰も受ける覚悟でございます」,「无论处罚为何，我都已经做好了相应的觉悟」,
「よい覚悟だ」,「你的这份觉悟很不错」,
「だが、王城には思わぬ形で魔が潜んでいる」,「但是，王城里面可是潜伏着很多你所想象不到的危机」,
それだけ言って去っていく。,说完这句话后，执政公便走开了。,
会議室に残っているのはルキウスとリシア王女だけだろう。,那也就是说，留在会议室中的就只有鲁基乌斯和莉西亚公主了吧。,
「覚悟はよいか？」,「做好心理准备了吗？」,
何だと？,她说什么？,
「良いな、ルキウス」,「没问题吧，鲁基乌斯」,
「話は以上だ」,「我要说的就这么多」,
「そのくらいで罰していてはいくら鞭があっても足りない、と冗談を仰ってな」,「她还半开玩笑地说，如果对这种事情都要加以处罚，那么有多少条鞭子都不会够用」,
「それが話し相手か？」,「所以就让我去陪她说话吗？」,
「いい罰だろう」,「这份处罚很不错吧」,
「悔しいがその通りだ」,「虽然很不甘心，但正是如此」,
「何にせよ、選択の余地はない」,「再怎么说，也没有选择的余地了」,
「いえ、それでは」,「不用谢，我告退了」,
リシア王女は鼻を鳴らす。,莉西亚公主不满地哼了一声。,
「普段通りの格好でお願いします」,「我觉得您平常的穿着就已经很好了」,
無茶苦茶だ。,真是强人所难。,
「俺は男だが」,「我可是个男人啊」,
「気に入らないな」,「你这样我可不高兴」,
「何かお気に障りましたか？」,「我做了什么让您不满的事吗？」,
「あれにしてくれ」,「给我用那种口气说话」,
「うん、お前はその方がいい」,「嗯，还是听你这么说比较顺耳」,
あっさりと言う。,莉西亚干脆地说道。,
身勝手な話だ。,这个公主还真是够肆意妄为的。,
「皆の手前、罰という形を取らざるを得なかった」,「若不对你进行形式上的处罚，在大家面前也说不过去」,
「強引な方法を取ったことについてはこの通り謝る」,「所以，只有用这个强制的方法来找到和你说话的机会」,
素直に謝られては、許すより他ない。,都被这么老实地认错了，我也就只能原谅她了。,
人並みに可愛い笑顔だ。,她的笑容和普通人一样可爱。,
「必要なら、それ相応の礼もしよう」,「如果需要的话，我也会给你相应的谢礼」,
「礼はいい」,「谢礼就免了」,
「欲のない奴だ」,「你还挺无欲无求的啊」,
「その代わり、王家やこの城の話を聞かせてくれ」,「与之相对的，希望你能跟我说说王室和这座王城的事情」,
「城に呼べばいい」,「把他们叫到城里来不就好了？」,
「あいつの頭は石より固いのだ」,「那家伙的脑袋可是比石头还顽固」,
「執政公たちが上手く国を回しているお陰だな」,「这都多亏了执政公他们对国家尽心竭力的治理啊」,
「違うのか？」,「难道不是吗？」,
「復旧には、まだ時間はかかるだろう」,「想要恢复原状，还要花上相当长的时间吧」,
一部では復旧が進んでいたが、多くの場所は牢獄ができた頃と同じように荒廃していた。,虽然有一部分开始了重建，但大多数地方还是和牢狱刚刚形成的那时一样，被完全地荒废掉了。,
「今も住居をなくした大勢の牢獄民が、着の身着のままで暮らしている」,「现在，也有很多居民无家可归，腹中饥饿，衣衫褴褛地过着居无定所的生活」,
「少し前に聖女の処刑が行われたが、聖教会への不信感は根強い」,「虽然不久前执行了对圣女的处刑，但他们对圣教会已经很不信任了」,
「二度同じことがあれば、三度目を疑うのも無理はないだろう？」,「正所谓事不过三，如果再发生同样的事情，他们再怎么老实也不可能不去怀疑吧？」,
「お前な」,「我说你啊」,
「国を治める者がそれでいいのか？」,「这是该从要治理国家的人口中说出的话吗？」,
「住民の不安くらい解消してもらわねば困る」,「如果他们连居民的不安都无法消除，我们可是很困扰的」,
むしろ、下の存在として見ているようだ。,倒不如说，她将圣女也看做是庶民一般的存在了。,
「どこでそのことを知った？」,「你是从哪里得知这件事情的？」,
